Category,Image,Link,Name,Price,Store
Smartfonlar,https://elmakon.uz/images/thumbnails/540/540/detailed/36/Без_имени-4876.jpg 2x,https://elmakon.uz/telefony-gadzhety-aksessuary/honor-70-8-256gb-black-smartfon-honor/,Honor 70 8/256 Gb,Price: 4.799.000,Elmakon
Smartfonlar,https://elmakon.uz/images/thumbnails/540/540/detailed/30/Без_имени-2004_2ls5-ha.jpg 2x,https://elmakon.uz/telefony-gadzhety-aksessuary/redmi-10a-eu-2-32gb-gray-smartfon-xiaomi/,Xiaomi Redmi 10a 2/32 Gb,Price: 1.349.000,Elmakon
Smartfonlar,https://api.idea.uz/storage/products/September2024/90UTHeJCF4P53p354fXA.png,https://idea.uz/product/8719-smartfon-redmi-13-8-256-ocean-blue,Xiaomi Redmi 13 8/256 Gb,2990000,Idea
Smartfonlar,https://api.idea.uz/storage/products/September2024/VEW1ZiUATKrrTj370o45.png,https://idea.uz/product/8698-smartfon-honor-200-8-256-moonlight-white,Honor 200 8/256 Gb,6699000,Idea
Smartfonlar,https://api.idea.uz/storage/products/September2024/TB4weciZiaQI4HhjC2dY.png,https://idea.uz/product/8686-smartfon-huawei-nova-y61-4-128-midnight-black,Huawei Nova Y61 4/128 Gb,1790000,Idea
Smartfonlar,https://api.idea.uz/storage/products/September2024/MEBDxiZZ24ImcO4Mar3W.png,https://idea.uz/product/8685-smartfon-redmi-13-8-128-ocean-blue,Xiaomi Redmi 13 8/128 Gb,2890000,Idea
Smartfonlar,https://api.idea.uz/storage/products/September2024/XaVujGuUs3SJpYXqOLbe.png,https://idea.uz/product/8684-smartfon-redmi-13-8-128-midnight-black,Xiaomi Redmi 13 8/128 Gb,2890000,Idea
Smartfonlar,https://api.idea.uz/storage/products/August2024/lMbynJhtT8ZfSXZq5XBk.png,https://idea.uz/product/8678-smartfon-tecno-spark-20-pro-8-256-temporal-orbits,Tecno Spark 20 Pro+ 8/256 Gb,2790000,Idea
Smartfonlar,https://api.idea.uz/storage/products/September2024/565LWOwYhi08aIwD1g7c.png,https://idea.uz/product/8669-smartfon-apple-iphone-15-128gb-blue,Apple Iphone 15 128 Gb,13556000,Idea
Smartfonlar,https://api.idea.uz/storage/products/August2024/KKLs1k9tXgzQ8vWU3riV.png,https://idea.uz/product/8497-smartfon-tecno-camon-30-8-256-uyuni-salt-white,Tecno Camon 30 8/256 Gb,2890000,Idea
Smartfonlar,https://api.idea.uz/storage/products/August2024/RiIcHhYspc4b57CtKP0w.png,https://idea.uz/product/8496-smartfon-tecno-camon-30-8-256-basaltic-dark,Tecno Camon 30 8/256 Gb,2890000,Idea
Smartfonlar,https://api.idea.uz/storage/products/August2024/DMOXVEtJPHR4xrhiIfiz.png,https://idea.uz/product/8419-smartfon-honor-200-pro-12-512-ocean-cyan,Honor 200 Pro 12/512 Gb,9999000,Idea
Smartfonlar,https://api.idea.uz/storage/products/August2024/dJO05zIon8uzAFiYYytO.png,https://idea.uz/product/8418-smartfon-honor-200-pro-12-512-black,Honor 200 Pro 12/512 Gb,9999000,Idea
Smartfonlar,https://api.idea.uz/storage/products/August2024/ETQKV9Z0aOwu1LHPYQtp.png,https://idea.uz/product/8490-smartfon-iphone-15-256gb-black,Apple Iphone 15 256 Gb,14590000,Idea
Smartfonlar,https://api.idea.uz/storage/products/August2024/WMHd56F8cMQam38M2TDy.png,https://idea.uz/product/8488-smartfon-huawei-pura-70-12-256-black,Pura 70 12/256 Gb,9588000,Idea
Smartfonlar,https://api.idea.uz/storage/products/August2024/N22bk2KqIqVhESxhWenK.png,https://idea.uz/product/8486-smartfon-huawei-pura-70-pro-12-512-black,Pura 70 Pro 12/512 Gb,11988000,Idea
Smartfonlar,https://api.idea.uz/storage/products/September2024/bnebs79WH0rX1MbU5jHa.png,https://idea.uz/product/8231-smartfon-honor-200-8-256-black,Honor 200 8/256 Gb,6699000,Idea
Smartfonlar,https://api.idea.uz/storage/products/September2024/7nBom5GSRkLcIPa1m2UV.png,https://idea.uz/product/8213-smartfon-honor-x6b-6-256-midnight-black,Honor X6b 6/256 Gb,2150000,Idea
Smartfonlar,https://api.idea.uz/storage/products/September2024/hBcKQcPWthr0Xw2zJSHS.png,https://idea.uz/product/8212-smartfon-honor-x6b-4-128-midnight-black,Honor X6b 4/128 Gb,2148000,Idea
Smartfonlar,https://api.idea.uz/storage/products/September2024/JcruGFMhqAJB5S5drfOR.png,https://idea.uz/product/8211-smartfon-redmi-a3-3-64-forest-green,Xiaomi Redmi A3 3/64 Gb,1390000,Idea
Smartfonlar,https://api.idea.uz/storage/products/September2024/qntFEgy1tekwkBFj2RQp.png,https://idea.uz/product/8210-smartfon-redmi-a3-3-64-midnight-black,Xiaomi Redmi A3 3/64 Gb,1390000,Idea
Smartfonlar,https://api.idea.uz/storage/products/July2024/ARSliUT8WePOF7iKEnkF.png,https://idea.uz/product/8186-smartfon-xiaomi-redmi-13-6-128-ocean-blue,Xiaomi Redmi 13 6/128 Gb,2388000,Idea
Smartfonlar,https://api.idea.uz/storage/products/July2024/dRbgCl3ZNCWhhX8f3QrJ.png,https://idea.uz/product/8185-smartfon-xiaomi-redmi-13-6-128-midnight-black,Xiaomi Redmi 13 6/128 Gb,2388000,Idea
Smartfonlar,https://api.idea.uz/storage/products/September2024/XerJrnsg4ZREVGlTfho4.png,https://idea.uz/product/8181-smartfon-iphone-15-pro-256gb-blue-titanium,Apple Iphone 15 Pro 256 Gb,20146000,Idea
Smartfonlar,https://api.idea.uz/storage/products/September2024/ERhCTpXkUMFK3F39UpZT.png,https://idea.uz/product/8180-smartfon-iphone-15-pro-256gb-black-titanium,Apple Iphone 15 Pro 256 Gb,20146000,Idea
Smartfonlar,https://api.idea.uz/storage/products/September2024/l221Vk7Egh3kFO37kSWc.png,https://idea.uz/product/8160-smartfon-honor-x6b-4-128-forest-green,Honor X6b 4/128 Gb,2148000,Idea
Smartfonlar,https://api.idea.uz/storage/products/September2024/Njmk27lvFDvrg0mb9kGG.png,https://idea.uz/product/8159-smartfon-honor-x6b-6-256-forest-green,Honor X6b 6/256 Gb,2150000,Idea
Smartfonlar,https://api.idea.uz/storage/products/July2024/ucTFmuevYrmVLOS2Ngzr.png,https://idea.uz/product/8158-smartfon-honor-200-8-256-black-v-komplekte-s-honor-choice-band,Honor 200 8/256 Gb,6699000,Idea
Smartfonlar,https://api.idea.uz/storage/products/July2024/bYWs2YnMkGraaM9cWPaI.jpg,https://idea.uz/product/8154-smartfon-honor-x6a-6-128gb-midnight-black,Honor X6a 6/128 Gb,1899000,Idea
Smartfonlar,https://api.idea.uz/storage/products/September2024/dV0ztLFsdvR68tLrFBD2.png,https://idea.uz/product/8051-smartfon-huawei-nova-y90-4-128-crystal-blue,Huawei Nova Y90 4/128 Gb,2090000,Idea
Smartfonlar,https://api.idea.uz/storage/products/June2024/5BAOxDegBjBFeDna3sKs.png,https://idea.uz/product/7920-smartfon-huawei-nova-y72-8-256-green,Huawei Nova Y72 8/256 Gb,2388000,Idea
Smartfonlar,https://api.idea.uz/storage/products/June2024/NS17JhZ7Oyyvbd6inN17.png,https://idea.uz/product/7919-smartfon-huawei-nova-y72-8-256-black,Huawei Nova Y72 8/256 Gb,2388000,Idea
Smartfonlar,https://api.idea.uz/storage/products/June2024/ZvkWbB2WgFDK16SkDEVb.png,https://idea.uz/product/7918-smartfon-huawei-nova-12i-8-128gb-green,Huawei Nova 12i 8/128 Gb,2868000,Idea
Smartfonlar,https://api.idea.uz/storage/products/June2024/tD9zISrymCOg746Admry.png,https://idea.uz/product/7917-smartfon-huawei-nova-12i-8-128gb-black,Huawei Nova 12i 8/128 Gb,2868000,Idea
Smartfonlar,https://api.idea.uz/storage/products/June2024/RTv7Ikqyv0E4hxEMtuqa.png,https://idea.uz/product/7916-smartfon-huawei-nova-12-se-8-256-white,Huawei Nova 12 Se 8/256 Gb,4308000,Idea
Smartfonlar,https://api.idea.uz/storage/products/June2024/DBL6kvhnHUaSh4bsSBKO.png,https://idea.uz/product/7915-smartfon-huawei-nova-12-se-8-256-black,Huawei Nova 12 Se 8/256 Gb,4308000,Idea
Smartfonlar,https://api.idea.uz/storage/products/June2024/lfbAUbNAGZNx1GrZmb76.png,https://idea.uz/product/7914-smartfon-huawei-nova-12s-8-256-white,Huawei Nova 12s 8/256 Gb,5388000,Idea
Smartfonlar,https://api.idea.uz/storage/products/June2024/O7JOSKHhrYHAaxtpWZ2r.png,https://idea.uz/product/7913-smartfon-huawei-nova-12s-8-256-black,Huawei Nova 12s 8/256 Gb,5388000,Idea
Smartfonlar,https://api.idea.uz/storage/products/June2024/RSIYjfakhX8JC5ENtwJD.png,https://idea.uz/product/7861-smartfon-tecno-spark-go-2024-3-64-mystery-white,Tecno Spark Go 2024 3/64 Gb,1188000,Idea
Smartfonlar,https://api.idea.uz/storage/products/June2024/ys1GZfurTEY1aJwCD71e.png,https://idea.uz/product/7860-smartfon-tecno-spark-go-2024-3-64-gravity-black,Tecno Spark Go 2024 3/64 Gb,1188000,Idea
Smartfonlar,https://api.idea.uz/storage/products/June2024/6GIfwivcVHQ6I7oq0yDH.png,https://idea.uz/product/7859-smartfon-tecno-spark-20c-4-128-magic-skin-green,Tecno Spark 20c 4/128 Gb,1668000,Idea
Smartfonlar,https://api.idea.uz/storage/products/May2024/A3dlerbzXEtYu6Gghcbn.png,https://idea.uz/product/7858-smartfon-honor-x7b-6-256-flowing-silver,Honor X7b 6/256 Gb,2790000,Idea
Smartfonlar,https://api.idea.uz/storage/products/May2024/MVeZdIuISTY6jyv1qWMQ.png,https://idea.uz/product/7857-smartfon-honor-x7b-6-256-emerald-green,Honor X7b 6/256 Gb,2790000,Idea
Smartfonlar,https://api.idea.uz/storage/products/May2024/ZgDmqjBfuO94CM8b4mC0.png,https://idea.uz/product/7856-smartfon-honor-x7b-6-256-midnight-black,Honor X7b 6/256 Gb,2790000,Idea
Smartfonlar,https://elmakon.uz/images/thumbnails/540/540/detailed/40/13_670z-y7.png 2x,https://elmakon.uz/telefony-gadzhety-aksessuary/nothing-phone-1-8-256gb-black-smartfon-nothing/,Nothing Phone 1 8/256 Gb,Price: 5.759.000,Elmakon
Smartfonlar,https://elmakon.uz/images/thumbnails/540/540/detailed/18/Без_имени-29.jpg 2x,https://elmakon.uz/telefony-gadzhety-aksessuary/y33s-black-smartfon-vivo/,Vivo Y33s 4/128 Gb,Price: 2.499.000,Elmakon
